NO,SIDO_NM,GOV_NM,LOCALFOOD_CERT_NO,CA_DT_START,CA_DT_END,CC_DT,WP_ROAD_ADD,WP_LOT_ADD,PC_ROAD_ADD,PC_LOT_ADD,ITEM_NM,CULT_AREA,CULT_SCALE,CG_DT,BIZ_OPR_NM,CRN,PHONE_NO,AGENCY_NM,ST_DT
000237,강원도,원주시,2017-0302-0260,2017-08-22,2018-08-21,,,,강원도 원주시 소초면 평장리 577,,복숭아,4664,,2017-08-22,류경숙,,,강원도 원주시청,2017-11-03
000238,강원도,원주시,2017-0303-0231,2017-08-08,2018-08-07,,,,강원도 원주시 소초면 평장리 64,,아로니아,2423,,2017-08-08,정선미,,,강원도 원주시청,2017-11-03
000239,강원도,원주시,2017-0303-0067,2017-06-01,2018-05-31,,,,강원도 원주시 소초면 평장리 64,,블랙커런트베리,2423,,2017-06-01,정선미,,,강원도 원주시청,2017-11-03
000240,강원도,원주시,2017-0304-0304,2017-10-11,2018-10-10,,,,강원도 원주시 소초면 평장리 641,,땅콩,1980,,2017-10-11,정선미,,,강원도 원주시청,2017-11-03
000241,강원도,원주시,2017-0204-0326,2017-10-25,2018-10-24,,,,강원도 원주시 소초면 평장리 641,,쪽파,1980,,2017-10-25,정선미,,,강원도 원주시청,2017-11-03
000242,강원도,원주시,2017-0204-0242,2017-08-16,2018-08-15,,,,강원도 원주시 소초면 평장리 680,,마늘,2393,,2017-08-16,김정옥,,,강원도 원주시청,2017-11-03
000243,강원도,원주시,2017-0302-0218,2017-08-08,2018-08-07,,,,강원도 원주시 소초면 평장리 산177,,복숭아,13200,,2017-08-08,신옥순,,,강원도 원주시청,2017-11-03
000244,강원도,원주시,2017-0302-0219,2017-08-08,2018-08-07,,,,강원도 원주시 소초면 평장리 산177,,자두,660,,2017-08-08,신옥순,,,강원도 원주시청,2017-11-03
000245,강원도,원주시,2017-0302-0168,2017-07-11,2018-07-10,,,,강원도 원주시 소초면 평장리 산193-1,,복숭아,9900,,2017-07-11,이규성,,,강원도 원주시청,2017-11-03
000246,강원도,원주시,2017-0302-0162,2017-07-11,2018-07-10,,,,강원도 원주시 소초면 학곡리 225,,복숭아,8430,,2017-07-11,김영일,,,강원도 원주시청,2017-11-03
000247,강원도,원주시,2017-0301-0321,2017-10-25,2018-10-24,,,,강원도 원주시 소초면 학곡리 236,,사과,1008,,2017-10-25,오경환,,,강원도 원주시청,2017-11-03
000248,강원도,원주시,2017-0302-0166,2017-07-11,2018-07-10,,,,강원도 원주시 소초면 학곡리 238-2,,복숭아,8117,,2017-07-11,안주언,,,강원도 원주시청,2017-11-03
